id	score	importantwordcount	intensity
2018-en-sadness-dev-1	2.348596300152485	10.0	2
2018-en-sadness-dev-2	1.97186125586249	13.0	3
2018-en-sadness-dev-3	0.0484350830101704	16.0	0
2018-en-sadness-dev-4	0.0	8.0	1
2018-en-sadness-dev-5	0.0148468338447038	16.0	0
2018-en-sadness-dev-6	2.5822518920193147	10.0	0
2018-en-sadness-dev-7	0.0575642789141483	11.0	0
2018-en-sadness-dev-8	3.235457697405187	11.0	0
2018-en-sadness-dev-9	0.0	7.0	1
2018-en-sadness-dev-10	0.0	6.0	0
2018-en-sadness-dev-11	0.0	4.0	1
2018-en-sadness-dev-12	0.0	5.0	0
2018-en-sadness-dev-13	1.31487347830521	4.0	2
2018-en-sadness-dev-14	0.6634700074164711	14.0	0
2018-en-sadness-dev-15	0.0617849006464979	6.0	1
2018-en-sadness-dev-16	0.647076197640795	11.0	2
2018-en-sadness-dev-17	0.8152395447582471	4.0	0
2018-en-sadness-dev-18	0.0	5.0	0
2018-en-sadness-dev-19	0.0	13.0	1
2018-en-sadness-dev-20	0.0575642789141483	17.0	2
2018-en-sadness-dev-21	1.848612839436659	2.0	3
2018-en-sadness-dev-22	0.0	7.0	2
2018-en-sadness-dev-23	1.61444629727852	8.0	0
2018-en-sadness-dev-24	0.0	7.0	1
2018-en-sadness-dev-25	0.124389748744181	13.0	0
2018-en-sadness-dev-26	0.988796529343222	18.0	2
2018-en-sadness-dev-27	0.552575834263664	11.0	0
2018-en-sadness-dev-28	2.047762622058104	13.0	3
2018-en-sadness-dev-29	0.100318564648741	13.0	0
2018-en-sadness-dev-30	0.862458616695638	4.0	2
2018-en-sadness-dev-31	1.1539110793847258	9.0	1
2018-en-sadness-dev-32	0.41047349295258	3.0	1
2018-en-sadness-dev-33	0.0911801198513737	15.0	2
2018-en-sadness-dev-34	2.856094664870059	14.0	0
2018-en-sadness-dev-35	2.184575917023407	18.0	3
2018-en-sadness-dev-36	0.0698442629383281	6.0	1
2018-en-sadness-dev-37	1.72022137218773	7.0	0
2018-en-sadness-dev-38	0.2761910761973786	13.0	1
2018-en-sadness-dev-39	2.55184603734351	9.0	0
2018-en-sadness-dev-40	1.717113659249008	7.0	2
2018-en-sadness-dev-41	1.693770113619296	8.0	3
2018-en-sadness-dev-42	0.0	7.0	0
2018-en-sadness-dev-43	4.343311349412336	14.0	2
2018-en-sadness-dev-44	2.009018801112946	6.0	1
2018-en-sadness-dev-45	0.148300836073336	6.0	0
2018-en-sadness-dev-46	0.330630605441563	4.0	0
2018-en-sadness-dev-47	1.3712543972169207	16.0	0
2018-en-sadness-dev-48	1.4295490790477698	13.0	0
2018-en-sadness-dev-49	3.90865558887261	12.0	0
2018-en-sadness-dev-50	1.547346360106129	14.0	3
2018-en-sadness-dev-51	1.678827696272901	9.0	0
2018-en-sadness-dev-52	0.0	4.0	0
2018-en-sadness-dev-53	0.0	5.0	0
2018-en-sadness-dev-54	1.1007546162898174	3.0	3
2018-en-sadness-dev-55	0.0688198975893699	4.0	0
2018-en-sadness-dev-56	0.0	7.0	0
2018-en-sadness-dev-57	0.5750051417988579	3.0	2
2018-en-sadness-dev-58	0.0	9.0	0
2018-en-sadness-dev-59	0.0	5.0	1
2018-en-sadness-dev-60	0.5481459153696412	17.0	1
2018-en-sadness-dev-61	1.406376579408102	15.0	0
2018-en-sadness-dev-62	0.0	4.0	0
2018-en-sadness-dev-63	0.6251161314997801	5.0	2
2018-en-sadness-dev-64	0.0	10.0	1
2018-en-sadness-dev-65	0.538492032502991	9.0	2
2018-en-sadness-dev-66	3.7915060172422796	18.0	3
2018-en-sadness-dev-67	0.0909508146451407	16.0	0
2018-en-sadness-dev-68	0.25114145438332397	12.0	1
2018-en-sadness-dev-69	2.513202008461385	18.0	2
2018-en-sadness-dev-70	2.2672406070909803	11.0	0
2018-en-sadness-dev-71	0.8342877397289409	8.0	0
2018-en-sadness-dev-72	3.0962981397233937	15.0	0
2018-en-sadness-dev-73	0.0	5.0	2
2018-en-sadness-dev-74	2.66743908972668	8.0	2
2018-en-sadness-dev-75	0.572203399540568	9.0	2
2018-en-sadness-dev-76	0.1893961981361131	10.0	1
2018-en-sadness-dev-77	2.1423710222177554	5.0	3
2018-en-sadness-dev-78	0.0	4.0	1
2018-en-sadness-dev-79	0.5623540242453001	13.0	0
2018-en-sadness-dev-80	2.918737666253191	5.0	0
2018-en-sadness-dev-81	0.0534349787498903	9.0	0
2018-en-sadness-dev-82	0.0	9.0	1
2018-en-sadness-dev-83	3.14999097988542	20.0	3
2018-en-sadness-dev-84	0.1318617464230055	12.0	0
2018-en-sadness-dev-85	0.19967189239398103	16.0	0
2018-en-sadness-dev-86	0.16055864502609699	12.0	1
2018-en-sadness-dev-87	0.7769138838948454	13.0	1
2018-en-sadness-dev-88	0.0	10.0	2
2018-en-sadness-dev-89	0.42882263162077705	8.0	3
2018-en-sadness-dev-90	0.4569763273968821	11.0	1
2018-en-sadness-dev-91	0.0	13.0	0
2018-en-sadness-dev-92	1.2748123502480955	7.0	0
2018-en-sadness-dev-93	0.9107109430397489	7.0	3
2018-en-sadness-dev-94	0.975690723998947	11.0	2
2018-en-sadness-dev-95	0.36240360732197796	15.0	0
2018-en-sadness-dev-96	0.640131725287984	7.0	1
2018-en-sadness-dev-97	1.4924971110102858	7.0	1
2018-en-sadness-dev-98	0.555574337259921	18.0	0
2018-en-sadness-dev-99	0.10302492624648402	8.0	0
2018-en-sadness-dev-100	0.35098014485684303	6.0	0
2018-en-sadness-dev-101	0.0	16.0	0
2018-en-sadness-dev-102	0.655769357417045	11.0	0
2018-en-sadness-dev-103	0.829602995367698	6.0	0
2018-en-sadness-dev-104	0.0	6.0	0
2018-en-sadness-dev-105	0.0	6.0	1
2018-en-sadness-dev-106	0.0	4.0	0
2018-en-sadness-dev-107	2.05861277290378	7.0	2
2018-en-sadness-dev-108	1.2381351525833422	9.0	1
2018-en-sadness-dev-109	1.54546927754596	11.0	3
2018-en-sadness-dev-110	0.0	7.0	0
2018-en-sadness-dev-111	3.037729513179487	14.0	3
2018-en-sadness-dev-112	0.0406816265716318	13.0	3
2018-en-sadness-dev-113	0.503898658061134	3.0	3
2018-en-sadness-dev-114	0.0	16.0	0
2018-en-sadness-dev-115	0.3478431810183502	10.0	0
2018-en-sadness-dev-116	0.0	5.0	1
2018-en-sadness-dev-117	0.7974737666062249	8.0	2
2018-en-sadness-dev-118	0.19829897300894397	10.0	1
2018-en-sadness-dev-119	1.394024007742749	17.0	0
2018-en-sadness-dev-120	2.21693977301949	9.0	2
2018-en-sadness-dev-121	0.0484350830101704	6.0	0
2018-en-sadness-dev-122	0.6601152300278784	7.0	1
2018-en-sadness-dev-123	1.5147841575314789	11.0	3
2018-en-sadness-dev-124	0.0	5.0	0
2018-en-sadness-dev-125	2.2552957016867277	17.0	3
2018-en-sadness-dev-126	0.8152395447582471	6.0	0
2018-en-sadness-dev-127	0.897226750000429	11.0	2
2018-en-sadness-dev-128	2.115574785742108	13.0	2
2018-en-sadness-dev-129	3.4389930437571903	11.0	3
2018-en-sadness-dev-130	1.18772038061062	8.0	2
2018-en-sadness-dev-131	0.0	14.0	0
2018-en-sadness-dev-132	3.8011760211989234	8.0	3
2018-en-sadness-dev-133	2.6917237433339247	11.0	0
2018-en-sadness-dev-134	0.0414547412826382	5.0	2
2018-en-sadness-dev-135	0.0	4.0	1
2018-en-sadness-dev-136	0.54660566727716	4.0	2
2018-en-sadness-dev-137	1.6700555323956967	8.0	3
2018-en-sadness-dev-138	0.8342877397289409	6.0	2
2018-en-sadness-dev-139	0.274671951793519	16.0	0
2018-en-sadness-dev-140	0.0	9.0	0
2018-en-sadness-dev-141	0.625839530787252	6.0	3
2018-en-sadness-dev-142	2.42949817820153	11.0	0
2018-en-sadness-dev-143	0.28579347513738	9.0	0
2018-en-sadness-dev-144	1.34022337820074	10.0	3
2018-en-sadness-dev-145	0.6826022398265542	15.0	2
2018-en-sadness-dev-146	0.0129947364770659	8.0	3
2018-en-sadness-dev-147	0.0	1.0	2
2018-en-sadness-dev-148	0.17003933912703623	11.0	0
2018-en-sadness-dev-149	0.105595621749585	13.0	3
2018-en-sadness-dev-150	0.6251161314997801	8.0	1
2018-en-sadness-dev-151	0.0	3.0	1
2018-en-sadness-dev-152	0.0495370290943835	6.0	2
2018-en-sadness-dev-153	1.99743854953462	16.0	0
2018-en-sadness-dev-154	1.36957487552764	7.0	3
2018-en-sadness-dev-155	0.0536704034403012	15.0	0
2018-en-sadness-dev-156	1.651852797961614	8.0	1
2018-en-sadness-dev-157	3.338219256092399	11.0	0
2018-en-sadness-dev-158	0.647076197640795	3.0	0
2018-en-sadness-dev-159	0.409187678308791	10.0	0
2018-en-sadness-dev-160	0.1422546861261164	8.0	0
2018-en-sadness-dev-161	1.78771801855255	4.0	3
2018-en-sadness-dev-162	1.3910328510853938	14.0	3
2018-en-sadness-dev-163	0.0	5.0	0
2018-en-sadness-dev-164	0.264519580329501	10.0	1
2018-en-sadness-dev-165	1.72479435444738	4.0	3
2018-en-sadness-dev-166	2.3905251806897376	10.0	3
2018-en-sadness-dev-167	0.35518788914608	11.0	1
2018-en-sadness-dev-168	0.1918182279470884	11.0	1
2018-en-sadness-dev-169	0.0	11.0	0
2018-en-sadness-dev-170	3.254283271571926	11.0	3
2018-en-sadness-dev-171	0.3204922538451	7.0	1
2018-en-sadness-dev-172	0.0	2.0	0
2018-en-sadness-dev-173	0.0414692734556586	4.0	1
2018-en-sadness-dev-174	0.45699350858747295	9.0	0
2018-en-sadness-dev-175	0.0	4.0	1
2018-en-sadness-dev-176	0.0877945784637032	9.0	0
2018-en-sadness-dev-177	3.742415100338376	17.0	3
2018-en-sadness-dev-178	0.9917622382078388	13.0	3
2018-en-sadness-dev-179	1.955448436317933	8.0	1
2018-en-sadness-dev-180	0.0923503949995639	17.0	0
2018-en-sadness-dev-181	1.6797300802644552	26.0	0
2018-en-sadness-dev-182	1.850928173044673	6.0	2
2018-en-sadness-dev-183	0.0	5.0	1
2018-en-sadness-dev-184	0.0	28.0	0
2018-en-sadness-dev-185	3.344515127008116	10.0	3
2018-en-sadness-dev-186	2.183600757523883	12.0	1
2018-en-sadness-dev-187	6.924983656179982	17.0	2
2018-en-sadness-dev-188	0.0	8.0	0
2018-en-sadness-dev-189	1.6794511275875101	7.0	1
2018-en-sadness-dev-190	0.508865339294313	9.0	1
2018-en-sadness-dev-191	0.696816749100339	14.0	1
2018-en-sadness-dev-192	0.0	12.0	1
2018-en-sadness-dev-193	0.36819800980434203	14.0	0
2018-en-sadness-dev-194	0.51281521585353	13.0	2
2018-en-sadness-dev-195	0.9608792085028265	8.0	0
2018-en-sadness-dev-196	0.128485128956273	4.0	0
2018-en-sadness-dev-197	0.0	11.0	0
2018-en-sadness-dev-198	0.0	6.0	1
2018-en-sadness-dev-199	0.5932440824622769	12.0	0
2018-en-sadness-dev-200	0.311039595964393	7.0	1
