id	score	importantwordcount	intensity
2018-en-valence-train-1-2017-30100	2.3289999999999997	1.0	3
2018-en-valence-train-2-2017-30078	2.9330000000000003	2.0	3
2018-en-valence-train-3-2017-30011	2.616	2.0	3
2018-en-valence-train-4-2017-21094	0.5410000000000001	1.0	3
2018-en-valence-train-5-2017-30382	0.1730000000000002	0.0	3
2018-en-valence-train-6-2017-31130	4.03	2.0	3
2018-en-valence-train-7-2017-31109	7.563999999999999	3.0	3
2018-en-valence-train-8-2017-31568	6.0440000000000005	4.0	3
2018-en-valence-train-9-2017-31462	3.3600000000000003	2.0	3
2018-en-valence-train-10-2017-30004	5.408	4.0	3
2018-en-valence-train-11-2017-30190	2.275	0.0	3
2018-en-valence-train-12-2017-31472	5.832	4.0	3
2018-en-valence-train-13-2017-30914	2.343	1.0	3
2018-en-valence-train-14-2017-30216	3.958	1.0	3
2018-en-valence-train-15-2017-31170	1.097	0.0	3
2018-en-valence-train-16-2017-30034	5.008	2.0	3
2018-en-valence-train-17-2017-30128	11.715000000000002	4.0	3
2018-en-valence-train-18-2017-30853	4.577999999999999	2.0	3
2018-en-valence-train-19-2017-31205	1.303	1.0	3
2018-en-valence-train-20-2017-31020	-1.7800000000000002	0.0	3
2018-en-valence-train-21-2017-30068	10.779	3.0	3
2018-en-valence-train-22-2017-30112	8.397	5.0	3
2018-en-valence-train-23-2017-31251	5.134	1.0	3
2018-en-valence-train-24-2017-30062	9.274	2.0	3
2018-en-valence-train-25-2017-31451	2.7110000000000003	2.0	3
2018-en-valence-train-26-2017-30017	5.659	1.0	3
2018-en-valence-train-27-2017-30030	2.081	1.0	3
2018-en-valence-train-28-2017-30955	1.1450000000000005	1.0	3
2018-en-valence-train-29-2017-31123	2.997	1.0	3
2018-en-valence-train-30-2017-31193	2.0069999999999997	1.0	3
2018-en-valence-train-31-2017-31309	7.214	3.0	3
2018-en-valence-train-32-2017-30261	1.905	1.0	3
2018-en-valence-train-33-2017-30296	4.1789999999999985	2.0	3
2018-en-valence-train-34-2017-31129	1.924	0.0	3
2018-en-valence-train-35-2017-31457	5.379	3.0	3
2018-en-valence-train-36-2017-30569	6.421	2.0	3
2018-en-valence-train-37-2017-30273	4.218	1.0	3
2018-en-valence-train-38-2017-31483	7.535	3.0	3
2018-en-valence-train-39-2017-30922	-1.2950000000000004	0.0	3
2018-en-valence-train-40-2017-10839	-3.806	0.0	3
2018-en-valence-train-41-2017-30866	10.143	4.0	3
2018-en-valence-train-42-2017-30038	-2.4229999999999996	2.0	3
2018-en-valence-train-43-2017-31117	3.781999999999999	2.0	3
2018-en-valence-train-44-2017-30371	-5.606	0.0	3
2018-en-valence-train-45-2017-30117	5.704	3.0	3
2018-en-valence-train-46-2017-31459	-0.19599999999999998	0.0	3
2018-en-valence-train-47-2017-30933	0.09599999999999986	1.0	3
2018-en-valence-train-48-2017-30021	-0.9350000000000002	0.0	3
2018-en-valence-train-49-2017-31115	2.463	1.0	3
2018-en-valence-train-50-2017-30162	6.112	1.0	3
2018-en-valence-train-51-2017-30130	7.841	3.0	3
2018-en-valence-train-52-2017-31387	3.693	0.0	3
2018-en-valence-train-53-2017-31140	6.053000000000001	3.0	3
2018-en-valence-train-54-2017-30198	11.358999999999998	3.0	3
2018-en-valence-train-55-2017-30954	3.624	2.0	3
2018-en-valence-train-56-2017-31260	5.63	2.0	3
2018-en-valence-train-57-2017-31116	4.04	2.0	3
2018-en-valence-train-58-2017-31212	4.109	4.0	3
2018-en-valence-train-59-2017-30077	13.123	5.0	3
2018-en-valence-train-60-2017-30295	17.547	7.0	3
2018-en-valence-train-61-2017-31078	3.484	2.0	3
2018-en-valence-train-62-2017-30031	7.940000000000001	3.0	3
2018-en-valence-train-63-2017-30060	3.043	2.0	3
2018-en-valence-train-64-2017-30050	5.426	2.0	3
2018-en-valence-train-65-2017-30063	0.5529999999999999	0.0	3
2018-en-valence-train-66-2017-40768	2.7230000000000008	1.0	3
2018-en-valence-train-67-2017-10519	-0.42600000000000005	0.0	3
2018-en-valence-train-68-2017-30910	6.433	4.0	3
2018-en-valence-train-69-2017-40227	-1.5390000000000001	0.0	3
2018-en-valence-train-70-2017-30395	5.734	2.0	3
2018-en-valence-train-71-2017-20602	-2.763	2.0	3
2018-en-valence-train-72-2017-30072	3.2729999999999997	2.0	3
2018-en-valence-train-73-2017-30902	3.4269999999999996	2.0	3
2018-en-valence-train-74-2017-31560	0.483	0.0	3
2018-en-valence-train-75-2017-30293	2.7310000000000003	1.0	3
2018-en-valence-train-76-2017-30024	4.442	2.0	3
2018-en-valence-train-77-2017-31081	1.0070000000000006	0.0	3
2018-en-valence-train-78-2017-30221	11.231	4.0	3
2018-en-valence-train-79-2017-30956	0.6820000000000004	1.0	3
2018-en-valence-train-80-2017-30040	1.9010000000000002	1.0	3
2018-en-valence-train-81-2017-31329	0.621	1.0	3
2018-en-valence-train-82-2017-31508	0.08200000000000002	0.0	3
2018-en-valence-train-83-2017-30170	-5.0889999999999995	0.0	3
2018-en-valence-train-84-2017-30200	-0.727	0.0	3
2018-en-valence-train-85-2017-30028	6.380999999999999	2.0	3
2018-en-valence-train-86-2017-31092	3.9539999999999997	1.0	3
2018-en-valence-train-87-2017-30155	1.8890000000000002	1.0	3
2018-en-valence-train-88-2017-10702	4.332	2.0	3
2018-en-valence-train-89-2017-30101	0.8399999999999999	1.0	3
2018-en-valence-train-90-2017-30940	6.59	2.0	3
2018-en-valence-train-91-2017-31551	2.442	2.0	3
2018-en-valence-train-92-2017-10704	-1.017	0.0	3
2018-en-valence-train-93-2017-30046	5.600000000000001	4.0	3
2018-en-valence-train-94-2017-31331	3.9000000000000004	2.0	3
2018-en-valence-train-95-2017-31543	-0.8749999999999998	0.0	3
2018-en-valence-train-96-2017-31598	2.2550000000000003	2.0	3
2018-en-valence-train-97-2017-30291	4.24	3.0	3
2018-en-valence-train-98-2017-30061	1.8450000000000002	1.0	3
2018-en-valence-train-99-2017-30188	3.1900000000000004	3.0	3
2018-en-valence-train-100-2017-10631	-3.806	0.0	3
2018-en-valence-train-101-2017-30185	3.7430000000000003	1.0	3
2018-en-valence-train-102-2017-31224	2.8640000000000003	2.0	3
2018-en-valence-train-103-2017-31033	2.277	2.0	3
2018-en-valence-train-104-2017-30122	3.2390000000000003	1.0	3
2018-en-valence-train-105-2017-30998	0.17199999999999982	0.0	3
2018-en-valence-train-106-2017-31544	0.6489999999999999	0.0	3
2018-en-valence-train-107-2017-41115	5.977	2.0	3
2018-en-valence-train-108-2017-31321	-0.871	1.0	3
2018-en-valence-train-109-2017-31189	3.396	1.0	3
2018-en-valence-train-110-2017-30893	-0.06900000000000006	1.0	3
2018-en-valence-train-111-2017-30288	2.4749999999999996	1.0	3
2018-en-valence-train-112-2017-31488	15.763000000000002	6.0	3
2018-en-valence-train-113-2017-30222	15.306000000000001	5.0	3
2018-en-valence-train-114-2017-22024	1.4380000000000002	1.0	3
2018-en-valence-train-115-2017-30849	1.4460000000000002	0.0	3
2018-en-valence-train-116-2017-30434	3.7409999999999997	2.0	3
2018-en-valence-train-117-2017-30578	10.462000000000002	3.0	3
2018-en-valence-train-118-2017-30193	0.1730000000000002	0.0	3
2018-en-valence-train-119-2017-30851	1.8040000000000003	0.0	3
2018-en-valence-train-120-2017-10970	0.052999999999999936	1.0	3
2018-en-valence-train-121-2017-30109	16.247	5.0	3
2018-en-valence-train-122-2017-30104	2.439	0.0	3
2018-en-valence-train-123-2017-31241	4.566000000000001	1.0	3
2018-en-valence-train-124-2017-31067	2.721	1.0	3
2018-en-valence-train-125-2017-21704	-3.5959999999999996	0.0	3
2018-en-valence-train-126-2017-31213	1.466	0.0	2
2018-en-valence-train-127-2017-30726	5.554	1.0	2
2018-en-valence-train-128-2017-30489	5.221	2.0	2
2018-en-valence-train-129-2017-30923	2.8280000000000003	0.0	2
2018-en-valence-train-130-2017-31077	0.5329999999999999	1.0	2
2018-en-valence-train-131-2017-30964	0.19600000000000006	0.0	2
2018-en-valence-train-132-2017-30846	2.671	3.0	2
2018-en-valence-train-133-2017-30303	0.11599999999999988	0.0	2
2018-en-valence-train-134-2017-10536	-4.768000000000001	0.0	2
2018-en-valence-train-135-2017-30268	8.662999999999998	4.0	2
2018-en-valence-train-136-2017-31240	7.517	2.0	2
2018-en-valence-train-137-2017-30143	-0.8899999999999999	0.0	2
2018-en-valence-train-138-2017-30896	3.008000000000001	1.0	2
2018-en-valence-train-139-2017-31448	7.375	1.0	2
2018-en-valence-train-140-2017-31062	1.3929999999999998	1.0	2
2018-en-valence-train-141-2017-31489	1.1050000000000002	0.0	2
2018-en-valence-train-142-2017-30172	2.726	2.0	2
2018-en-valence-train-143-2017-31006	1.159	0.0	2
2018-en-valence-train-144-2017-30151	2.841	2.0	2
2018-en-valence-train-145-2017-31099	3.851	2.0	2
2018-en-valence-train-146-2017-31232	4.715	3.0	2
2018-en-valence-train-147-2017-30082	4.377000000000001	2.0	2
2018-en-valence-train-148-2017-31095	2.833	1.0	2
