id	score	importantwordcount	intensity
2018-en-valence-dev-1	-1.2179999999999995	1.0	-2
2018-en-valence-dev-2	-1.0840000000000003	1.0	0
2018-en-valence-dev-3	-4.895	0.0	0
2018-en-valence-dev-4	-2.7219999999999995	0.0	0
2018-en-valence-dev-5	-8.379999999999999	0.0	-3
2018-en-valence-dev-6	0.8219999999999996	1.0	-2
2018-en-valence-dev-7	-3.5020000000000002	0.0	-1
2018-en-valence-dev-8	-3.5379999999999994	0.0	-3
2018-en-valence-dev-9	-8.197000000000001	0.0	0
2018-en-valence-dev-10	-1.398000000000001	1.0	0
2018-en-valence-dev-11	0.2550000000000002	1.0	0
2018-en-valence-dev-12	6.038	1.0	1
2018-en-valence-dev-13	7.1080000000000005	3.0	2
2018-en-valence-dev-14	-3.0359999999999996	1.0	0
2018-en-valence-dev-15	7.675999999999999	4.0	0
2018-en-valence-dev-16	1.712000000000001	2.0	-3
2018-en-valence-dev-17	4.649	3.0	0
2018-en-valence-dev-18	-2.4709999999999996	0.0	-2
2018-en-valence-dev-19	0.15200000000000014	0.0	-1
2018-en-valence-dev-20	-0.7870000000000004	1.0	-3
2018-en-valence-dev-21	6.248000000000001	3.0	1
2018-en-valence-dev-22	-0.155	0.0	2
2018-en-valence-dev-23	-0.4690000000000001	0.0	1
2018-en-valence-dev-24	-0.675	1.0	-1
2018-en-valence-dev-25	-3.8149999999999995	0.0	0
2018-en-valence-dev-26	-1.562	0.0	1
2018-en-valence-dev-27	7.849	1.0	3
2018-en-valence-dev-28	4.307	2.0	2
2018-en-valence-dev-29	0.7280000000000002	0.0	3
2018-en-valence-dev-30	-7.149000000000001	0.0	-3
2018-en-valence-dev-31	-8.103	0.0	-2
2018-en-valence-dev-32	2.402	1.0	1
2018-en-valence-dev-33	4.483999999999999	4.0	3
2018-en-valence-dev-34	-0.6950000000000002	0.0	-2
2018-en-valence-dev-35	-3.8489999999999993	0.0	0
2018-en-valence-dev-36	0.775	1.0	0
2018-en-valence-dev-37	-0.8789999999999999	1.0	0
2018-en-valence-dev-38	-8.607	0.0	-1
2018-en-valence-dev-39	7.285	2.0	0
2018-en-valence-dev-40	1.064	1.0	3
2018-en-valence-dev-41	10.293000000000001	2.0	0
2018-en-valence-dev-42	-4.310999999999999	1.0	1
2018-en-valence-dev-43	4.934000000000001	2.0	1
2018-en-valence-dev-44	6.457000000000002	2.0	2
2018-en-valence-dev-45	-5.047000000000001	0.0	-1
2018-en-valence-dev-46	2.095999999999999	2.0	3
2018-en-valence-dev-47	0.772	1.0	0
2018-en-valence-dev-48	4.313000000000001	1.0	1
2018-en-valence-dev-49	-3.0620000000000003	0.0	-3
2018-en-valence-dev-50	1.6560000000000001	0.0	1
2018-en-valence-dev-51	3.244	2.0	1
2018-en-valence-dev-52	-7.848000000000001	0.0	-3
2018-en-valence-dev-53	3.527	2.0	3
2018-en-valence-dev-54	-3.7099999999999995	0.0	-2
2018-en-valence-dev-55	1.2680000000000002	0.0	2
2018-en-valence-dev-56	-7.067	0.0	1
2018-en-valence-dev-57	-2.163	1.0	-3
2018-en-valence-dev-58	-6.272	0.0	-2
2018-en-valence-dev-59	-0.10100000000000003	0.0	1
2018-en-valence-dev-60	-4.04	1.0	-1
2018-en-valence-dev-61	4.341	2.0	3
2018-en-valence-dev-62	1.681	1.0	3
2018-en-valence-dev-63	1.1540000000000004	1.0	1
2018-en-valence-dev-64	7.056000000000001	3.0	3
2018-en-valence-dev-65	-4.221	0.0	-3
2018-en-valence-dev-66	-3.057	0.0	-2
2018-en-valence-dev-67	1.1189999999999998	0.0	0
2018-en-valence-dev-68	-2.76	0.0	-2
2018-en-valence-dev-69	0.6179999999999999	0.0	0
2018-en-valence-dev-70	10.383	4.0	-2
2018-en-valence-dev-71	-0.567	0.0	3
2018-en-valence-dev-72	-1.0980000000000012	1.0	0
2018-en-valence-dev-73	-0.6030000000000002	1.0	1
2018-en-valence-dev-74	0.47899999999999965	1.0	-2
2018-en-valence-dev-75	-0.32800000000000007	0.0	-1
2018-en-valence-dev-76	-1.6009999999999995	0.0	-2
2018-en-valence-dev-77	3.7459999999999996	1.0	1
2018-en-valence-dev-78	6.739	1.0	2
2018-en-valence-dev-79	-1.5539999999999994	1.0	-3
2018-en-valence-dev-80	-2.9000000000000004	1.0	-2
2018-en-valence-dev-81	0.5249999999999996	0.0	-3
2018-en-valence-dev-82	6.73	3.0	3
2018-en-valence-dev-83	0.8630000000000002	2.0	0
2018-en-valence-dev-84	-6.276000000000001	2.0	-2
2018-en-valence-dev-85	-1.432	0.0	0
2018-en-valence-dev-86	0.11999999999999994	0.0	1
2018-en-valence-dev-87	9.865	3.0	3
2018-en-valence-dev-88	-0.7710000000000001	0.0	-1
2018-en-valence-dev-89	-2.3819999999999997	0.0	1
2018-en-valence-dev-90	2.5810000000000004	1.0	1
2018-en-valence-dev-91	-0.6490000000000011	1.0	0
2018-en-valence-dev-92	-5.58	0.0	-2
2018-en-valence-dev-93	12.673	4.0	0
2018-en-valence-dev-94	2.7540000000000004	2.0	0
2018-en-valence-dev-95	-1.256	0.0	0
2018-en-valence-dev-96	2.7159999999999997	2.0	-2
2018-en-valence-dev-97	-1.254	0.0	0
2018-en-valence-dev-98	1.4510000000000005	1.0	-3
2018-en-valence-dev-99	1.968	2.0	3
2018-en-valence-dev-100	-0.271	2.0	0
2018-en-valence-dev-101	-0.07400000000000023	2.0	0
2018-en-valence-dev-102	0.5840000000000003	1.0	-2
2018-en-valence-dev-103	1.5870000000000002	0.0	3
2018-en-valence-dev-104	1.634	0.0	1
2018-en-valence-dev-105	-1.301	2.0	3
2018-en-valence-dev-106	2.847	2.0	0
2018-en-valence-dev-107	1.531	0.0	3
2018-en-valence-dev-108	-5.867999999999999	0.0	-3
2018-en-valence-dev-109	1.692	0.0	1
2018-en-valence-dev-110	0.8170000000000002	0.0	2
2018-en-valence-dev-111	-1.45	0.0	-2
2018-en-valence-dev-112	-1.104	0.0	-3
2018-en-valence-dev-113	0.9959999999999999	0.0	-1
2018-en-valence-dev-114	5.242	1.0	3
2018-en-valence-dev-115	2.6819999999999995	2.0	3
2018-en-valence-dev-116	0.05000000000000002	0.0	1
2018-en-valence-dev-117	5.04	1.0	3
2018-en-valence-dev-118	4.036	1.0	0
2018-en-valence-dev-119	1.096000000000001	1.0	-3
2018-en-valence-dev-120	1.565	0.0	0
2018-en-valence-dev-121	0.08700000000000002	0.0	1
2018-en-valence-dev-122	0.12699999999999978	0.0	0
2018-en-valence-dev-123	-0.15300000000000014	0.0	0
2018-en-valence-dev-124	-2.573	0.0	-3
2018-en-valence-dev-125	-1.9880000000000004	0.0	1
2018-en-valence-dev-126	-4.146999999999999	1.0	-2
2018-en-valence-dev-127	-0.621	1.0	2
